class_name,class_index,precision,recall,f1,support
affenpinscher,0,0.08928571428571429,0.1,0.09433962264150944,50
afghan_hound,1,0.22448979591836735,0.07913669064748201,0.11702127659574468,139
african_hunting_dog,2,0.125,0.42028985507246375,0.19269102990033224,69
airedale,3,0.29411764705882354,0.09803921568627451,0.14705882352941177,102
american_staffordshire_terrier,4,0.0,0.0,0.0,64
appenzeller,5,0.05263157894736842,0.0196078431372549,0.02857142857142857,51
australian_terrier,6,0.078125,0.052083333333333336,0.0625,96
basenji,7,0.41025641025641024,0.14678899082568808,0.21621621621621623,109
basset,8,0.11475409836065574,0.09333333333333334,0.10294117647058823,75
beagle,9,0.20833333333333334,0.05263157894736842,0.08403361344537816,95
bedlington_terrier,10,0.17475728155339806,0.21951219512195122,0.1945945945945946,82
bernese_mountain_dog,11,0.5,0.2711864406779661,0.3516483516483517,118
black_and_tan_coonhound,12,0.2,0.3559322033898305,0.25609756097560976,59
blenheim_spaniel,13,0.23684210526315788,0.4090909090909091,0.3,88
bloodhound,14,0.14393939393939395,0.21839080459770116,0.1735159817351598,87
bluetick,15,0.2653061224489796,0.18309859154929578,0.21666666666666667,71
border_collie,16,0.16049382716049382,0.26,0.1984732824427481,50
border_terrier,17,0.17721518987341772,0.3888888888888889,0.24347826086956523,72
borzoi,18,0.05660377358490566,0.11764705882352941,0.07643312101910828,51
boston_bull,19,0.17,0.2073170731707317,0.18681318681318682,82
bouvier_des_flandres,20,0.19753086419753085,0.32,0.24427480916030533,50
boxer,21,0.0,0.0,0.0,51
brabancon_griffon,22,0.2608695652173913,0.22641509433962265,0.24242424242424243,53
briard,23,0.1,0.038461538461538464,0.05555555555555555,52
brittany_spaniel,24,0.09523809523809523,0.15384615384615385,0.11764705882352941,52
bull_mastiff,25,0.13636363636363635,0.16071428571428573,0.14754098360655737,56
cairn,26,0.10869565217391304,0.05154639175257732,0.06993006993006994,97
cardigan,27,0.25,0.01818181818181818,0.03389830508474576,55
chesapeake_bay_retriever,28,0.11290322580645161,0.1044776119402985,0.10852713178294573,67
chihuahua,29,0.09523809523809523,0.038461538461538464,0.0547945205479452,52
chow,30,0.25,0.09375,0.13636363636363635,96
clumber,31,0.06060606060606061,0.16,0.08791208791208792,50
cocker_spaniel,32,0.0,0.0,0.0,59
collie,33,0.14285714285714285,0.07547169811320754,0.09876543209876543,53
curly_coated_retriever,34,0.08333333333333333,0.13725490196078433,0.1037037037037037,51
dandie_dinmont,35,0.1267605633802817,0.225,0.16216216216216217,80
dhole,36,0.11016949152542373,0.26,0.15476190476190477,50
dingo,37,0.08928571428571429,0.17857142857142858,0.11904761904761904,56
doberman,38,0.15384615384615385,0.16,0.1568627450980392,50
english_foxhound,39,0.175,0.3684210526315789,0.23728813559322035,57
english_setter,40,0.09230769230769231,0.09836065573770492,0.09523809523809523,61
english_springer,41,0.23943661971830985,0.288135593220339,0.26153846153846155,59
entlebucher,42,0.4225352112676056,0.5882352941176471,0.4918032786885246,102
eskimo_dog,43,0.02564102564102564,0.02,0.02247191011235955,50
flat_coated_retriever,44,0.125,0.038461538461538464,0.058823529411764705,52
french_bulldog,45,0.024390243902439025,0.01694915254237288,0.02,59
german_shepherd,46,0.058823529411764705,0.057692307692307696,0.05825242718446602,52
german_short_haired_pointer,47,0.16666666666666666,0.19230769230769232,0.17857142857142858,52
giant_schnauzer,48,0.16666666666666666,0.14035087719298245,0.1523809523809524,57
golden_retriever,49,0.04938271604938271,0.08,0.061068702290076333,50
gordon_setter,50,0.2631578947368421,0.18867924528301888,0.21978021978021978,53
great_dane,51,0.05813953488372093,0.08928571428571429,0.07042253521126761,56
great_pyrenees,52,0.2,0.07079646017699115,0.10457516339869281,113
greater_swiss_mountain_dog,53,0.14173228346456693,0.2647058823529412,0.18461538461538463,68
groenendael,54,0.18181818181818182,0.2,0.19047619047619047,50
ibizan_hound,55,0.1038961038961039,0.09090909090909091,0.09696969696969697,88
irish_setter,56,0.2647058823529412,0.32727272727272727,0.2926829268292683,55
irish_terrier,57,0.09375,0.21739130434782608,0.13100436681222707,69
irish_water_spaniel,58,0.3076923076923077,0.4,0.34782608695652173,50
irish_wolfhound,59,0.12,0.025423728813559324,0.04195804195804196,118
italian_greyhound,60,0.11594202898550725,0.0975609756097561,0.10596026490066225,82
japanese_spaniel,61,0.3382352941176471,0.27058823529411763,0.3006535947712418,85
keeshond,62,0.2692307692307692,0.2413793103448276,0.2545454545454545,58
kelpie,63,0.0,0.0,0.0,53
kerry_blue_terrier,64,0.1388888888888889,0.06329113924050633,0.08695652173913043,79
komondor,65,0.3978494623655914,0.6851851851851852,0.5034013605442177,54
kuvasz,66,0.13636363636363635,0.12,0.1276595744680851,50
labrador_retriever,67,0.08333333333333333,0.014084507042253521,0.024096385542168676,71
lakeland_terrier,68,0.39473684210526316,0.15463917525773196,0.2222222222222222,97
leonberg,69,0.3088235294117647,0.38181818181818183,0.34146341463414637,110
lhasa,70,0.1702127659574468,0.27906976744186046,0.21145374449339208,86
malamute,71,0.11428571428571428,0.15384615384615385,0.13114754098360656,78
malinois,72,0.0375,0.06,0.046153846153846156,50
maltese_dog,73,0.3373493975903614,0.18421052631578946,0.23829787234042554,152
mexican_hairless,74,0.14473684210526316,0.4,0.21256038647342995,55
miniature_pinscher,75,0.20967741935483872,0.15476190476190477,0.1780821917808219,84
miniature_poodle,76,0.11764705882352941,0.03636363636363636,0.05555555555555555,55
miniature_schnauzer,77,0.06896551724137931,0.037037037037037035,0.04819277108433735,54
newfoundland,78,0.5,0.010526315789473684,0.020618556701030927,95
norfolk_terrier,79,0.12380952380952381,0.18055555555555555,0.14689265536723164,72
norwegian_elkhound,80,0.15217391304347827,0.14583333333333334,0.14893617021276595,96
norwich_terrier,81,0.1111111111111111,0.15294117647058825,0.12871287128712872,85
old_english_sheepdog,82,0.27586206896551724,0.11594202898550725,0.16326530612244897,69
otterhound,83,0.042735042735042736,0.09803921568627451,0.05952380952380952,51
papillon,84,0.16129032258064516,0.10416666666666667,0.12658227848101267,96
pekinese,85,0.034482758620689655,0.02040816326530612,0.02564102564102564,49
pembroke,86,0.1956521739130435,0.2222222222222222,0.20809248554913296,81
pomeranian,87,0.25333333333333335,0.15966386554621848,0.1958762886597938,119
pug,88,0.08333333333333333,0.02,0.03225806451612903,100
redbone,89,0.16216216216216217,0.25,0.19672131147540983,48
rhodesian_ridgeback,90,0.09090909090909091,0.08333333333333333,0.08695652173913043,72
rottweiler,91,0.21818181818181817,0.46153846153846156,0.2962962962962963,52
saint_bernard,92,0.13135593220338984,0.44285714285714284,0.20261437908496732,70
saluki,93,0.06153846153846154,0.04,0.048484848484848485,100
samoyed,94,0.2777777777777778,0.3813559322033898,0.32142857142857145,118
schipperke,95,0.2727272727272727,0.3333333333333333,0.3,54
scotch_terrier,96,0.09433962264150944,0.08620689655172414,0.09009009009009009,58
scottish_deerhound,97,0.3130434782608696,0.2727272727272727,0.291497975708502,132
sealyham_terrier,98,0.2719298245614035,0.30392156862745096,0.28703703703703703,102
shetland_sheepdog,99,0.13725490196078433,0.12280701754385964,0.12962962962962962,57
shih_tzu,100,0.2,0.008771929824561403,0.01680672268907563,114
siberian_husky,101,0.07865168539325842,0.07608695652173914,0.07734806629834254,92
silky_terrier,102,0.28205128205128205,0.26506024096385544,0.2732919254658385,83
soft_coated_wheaten_terrier,103,0.14606741573033707,0.23214285714285715,0.1793103448275862,56
staffordshire_bullterrier,104,0.0425531914893617,0.03636363636363636,0.0392156862745098,55
standard_poodle,105,0.0,0.0,0.0,59
standard_schnauzer,106,0.06451612903225806,0.07272727272727272,0.06837606837606838,55
sussex_spaniel,107,0.16666666666666666,0.39215686274509803,0.23391812865497075,51
tibetan_mastiff,108,0.09523809523809523,0.11538461538461539,0.10434782608695652,52
