class_name,class_index,precision,recall,f1,support
affenpinscher,0,0.07407407407407407,0.08,0.07692307692307693,50
afghan_hound,1,0.11965811965811966,0.2014388489208633,0.15013404825737264,139
african_hunting_dog,2,0.008333333333333333,0.014492753623188406,0.010582010582010581,69
airedale,3,0.0,0.0,0.0,102
american_staffordshire_terrier,4,0.0,0.0,0.0,64
appenzeller,5,0.029850746268656716,0.0392156862745098,0.03389830508474576,51
australian_terrier,6,0.07446808510638298,0.07291666666666667,0.07368421052631578,96
basenji,7,0.05714285714285714,0.03669724770642202,0.0446927374301676,109
basset,8,0.03225806451612903,0.05333333333333334,0.04020100502512563,75
beagle,9,0.0,0.0,0.0,95
bedlington_terrier,10,0.03571428571428571,0.036585365853658534,0.03614457831325301,82
bernese_mountain_dog,11,0.05172413793103448,0.025423728813559324,0.03409090909090909,118
black_and_tan_coonhound,12,0.030303030303030304,0.03389830508474576,0.032,59
blenheim_spaniel,13,0.0425531914893617,0.022727272727272728,0.02962962962962963,88
bloodhound,14,0.0,0.0,0.0,87
bluetick,15,0.023255813953488372,0.014084507042253521,0.017543859649122806,71
border_collie,16,0.018867924528301886,0.02,0.019417475728155338,50
border_terrier,17,0.07407407407407407,0.027777777777777776,0.04040404040404041,72
borzoi,18,0.05454545454545454,0.058823529411764705,0.05660377358490566,51
boston_bull,19,0.04878048780487805,0.04878048780487805,0.04878048780487805,82
bouvier_des_flandres,20,0.013333333333333334,0.02,0.016,50
boxer,21,0.03333333333333333,0.0392156862745098,0.036036036036036036,51
brabancon_griffon,22,0.014925373134328358,0.018867924528301886,0.016666666666666666,53
briard,23,0.10256410256410256,0.07692307692307693,0.08791208791208792,52
brittany_spaniel,24,0.0,0.0,0.0,52
bull_mastiff,25,0.047619047619047616,0.03571428571428571,0.04081632653061224,56
cairn,26,0.0,0.0,0.0,97
cardigan,27,0.024096385542168676,0.03636363636363636,0.028985507246376812,55
chesapeake_bay_retriever,28,0.056338028169014086,0.05970149253731343,0.057971014492753624,67
chihuahua,29,0.009345794392523364,0.019230769230769232,0.012578616352201259,52
chow,30,0.01694915254237288,0.010416666666666666,0.012903225806451613,96
clumber,31,0.05434782608695652,0.1,0.07042253521126761,50
cocker_spaniel,32,0.0,0.0,0.0,59
collie,33,0.0,0.0,0.0,53
curly_coated_retriever,34,0.019230769230769232,0.0196078431372549,0.019417475728155338,51
dandie_dinmont,35,0.0641025641025641,0.0625,0.06329113924050633,80
dhole,36,0.046052631578947366,0.14,0.06930693069306931,50
dingo,37,0.02040816326530612,0.017857142857142856,0.01904761904761905,56
doberman,38,0.02127659574468085,0.02,0.020618556701030927,50
english_foxhound,39,0.07228915662650602,0.21052631578947367,0.10762331838565023,57
english_setter,40,0.0,0.0,0.0,61
english_springer,41,0.05714285714285714,0.06779661016949153,0.06201550387596899,59
entlebucher,42,0.015625,0.00980392156862745,0.012048192771084338,102
eskimo_dog,43,0.027777777777777776,0.02,0.023255813953488372,50
flat_coated_retriever,44,0.05555555555555555,0.07692307692307693,0.06451612903225806,52
french_bulldog,45,0.03278688524590164,0.03389830508474576,0.03333333333333333,59
german_shepherd,46,0.04918032786885246,0.057692307692307696,0.05309734513274336,52
german_short_haired_pointer,47,0.03333333333333333,0.038461538461538464,0.03571428571428571,52
giant_schnauzer,48,0.04225352112676056,0.05263157894736842,0.046875,57
golden_retriever,49,0.0,0.0,0.0,50
gordon_setter,50,0.05714285714285714,0.07547169811320754,0.06504065040650407,53
great_dane,51,0.018518518518518517,0.017857142857142856,0.01818181818181818,56
great_pyrenees,52,0.01282051282051282,0.008849557522123894,0.010471204188481676,113
greater_swiss_mountain_dog,53,0.06451612903225806,0.08823529411764706,0.07453416149068323,68
groenendael,54,0.015151515151515152,0.04,0.02197802197802198,50
ibizan_hound,55,0.015151515151515152,0.011363636363636364,0.012987012987012988,88
irish_setter,56,0.0,0.0,0.0,55
irish_terrier,57,0.0,0.0,0.0,69
irish_water_spaniel,58,0.05555555555555555,0.06,0.057692307692307696,50
irish_wolfhound,59,0.047619047619047616,0.01694915254237288,0.025,118
italian_greyhound,60,0.046875,0.036585365853658534,0.0410958904109589,82
japanese_spaniel,61,0.0880503144654088,0.16470588235294117,0.11475409836065574,85
keeshond,62,0.0625,0.034482758620689655,0.044444444444444446,58
kelpie,63,0.012987012987012988,0.018867924528301886,0.015384615384615385,53
kerry_blue_terrier,64,0.1206896551724138,0.08860759493670886,0.10218978102189781,79
komondor,65,0.04411764705882353,0.05555555555555555,0.04918032786885246,54
kuvasz,66,0.06451612903225806,0.08,0.07142857142857142,50
labrador_retriever,67,0.022222222222222223,0.014084507042253521,0.017241379310344827,71
lakeland_terrier,68,0.08333333333333333,0.030927835051546393,0.045112781954887216,97
leonberg,69,0.13725490196078433,0.12727272727272726,0.1320754716981132,110
lhasa,70,0.08547008547008547,0.11627906976744186,0.09852216748768473,86
