class_name,class_index,precision,recall,f1,support
affenpinscher,0,0.5476190476190477,0.92,0.6865671641791045,50
afghan_hound,1,0.9649122807017544,0.7913669064748201,0.8695652173913043,139
african_hunting_dog,2,0.9661016949152542,0.8260869565217391,0.890625,69
airedale,3,0.8235294117647058,0.8235294117647058,0.8235294117647058,102
american_staffordshire_terrier,4,0.6190476190476191,0.40625,0.49056603773584906,64
appenzeller,5,0.47619047619047616,0.39215686274509803,0.43010752688172044,51
australian_terrier,6,0.65,0.40625,0.5,96
basenji,7,0.7735849056603774,0.7522935779816514,0.7627906976744186,109
basset,8,0.926829268292683,0.5066666666666667,0.6551724137931034,75
beagle,9,0.7375,0.6210526315789474,0.6742857142857143,95
bedlington_terrier,10,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
bernese_mountain_dog,11,0.8454545454545455,0.788135593220339,0.8157894736842105,118
black_and_tan_coonhound,12,0.7619047619047619,0.8135593220338984,0.7868852459016393,59
blenheim_spaniel,13,0.9240506329113924,0.8295454545454546,0.874251497005988,88
bloodhound,14,0.9827586206896551,0.6551724137931034,0.7862068965517242,87
bluetick,15,0.49264705882352944,0.9436619718309859,0.6473429951690821,71
border_collie,16,0.375,0.12,0.18181818181818182,50
border_terrier,17,0.8421052631578947,0.8888888888888888,0.8648648648648649,72
borzoi,18,0.6226415094339622,0.6470588235294118,0.6346153846153846,51
boston_bull,19,0.8076923076923077,0.7682926829268293,0.7875,82
bouvier_des_flandres,20,0.65,0.26,0.37142857142857144,50
boxer,21,0.6153846153846154,0.7843137254901961,0.6896551724137931,51
brabancon_griffon,22,0.875,0.7924528301886793,0.8316831683168316,53
briard,23,0.41,0.7884615384615384,0.5394736842105263,52
brittany_spaniel,24,0.6,0.75,0.6666666666666666,52
bull_mastiff,25,0.8666666666666667,0.6964285714285714,0.7722772277227723,56
cairn,26,0.9090909090909091,0.6185567010309279,0.7361963190184049,97
cardigan,27,0.6774193548387096,0.38181818181818183,0.4883720930232558,55
chesapeake_bay_retriever,28,0.7285714285714285,0.7611940298507462,0.7445255474452555,67
chihuahua,29,0.5,0.5384615384615384,0.5185185185185185,52
chow,30,0.8762886597938144,0.8854166666666666,0.8808290155440415,96
clumber,31,0.8775510204081632,0.86,0.8686868686868687,50
cocker_spaniel,32,0.8235294117647058,0.4745762711864407,0.6021505376344086,59
collie,33,0.3046875,0.7358490566037735,0.430939226519337,53
curly_coated_retriever,34,0.5443037974683544,0.8431372549019608,0.6615384615384615,51
dandie_dinmont,35,1.0,0.675,0.8059701492537313,80
dhole,36,0.9523809523809523,0.8,0.8695652173913043,50
dingo,37,0.6617647058823529,0.8035714285714286,0.7258064516129032,56
doberman,38,0.5686274509803921,0.58,0.5742574257425742,50
english_foxhound,39,0.717391304347826,0.5789473684210527,0.6407766990291263,57
english_setter,40,0.6133333333333333,0.7540983606557377,0.6764705882352942,61
english_springer,41,0.7205882352941176,0.8305084745762712,0.7716535433070866,59
entlebucher,42,0.7717391304347826,0.696078431372549,0.7319587628865979,102
eskimo_dog,43,0.5263157894736842,0.2,0.2898550724637681,50
flat_coated_retriever,44,0.375,0.8076923076923077,0.5121951219512195,52
french_bulldog,45,0.5542168674698795,0.7796610169491526,0.647887323943662,59
german_shepherd,46,0.5121951219512195,0.8076923076923077,0.6268656716417911,52
german_short_haired_pointer,47,0.7090909090909091,0.75,0.7289719626168224,52
giant_schnauzer,48,0.6,0.42105263157894735,0.4948453608247423,57
golden_retriever,49,0.5,0.7,0.5833333333333334,50
gordon_setter,50,0.925,0.6981132075471698,0.7956989247311828,53
great_dane,51,0.5833333333333334,0.625,0.603448275862069,56
great_pyrenees,52,0.5691056910569106,0.6194690265486725,0.5932203389830508,113
greater_swiss_mountain_dog,53,0.6811594202898551,0.6911764705882353,0.6861313868613139,68
groenendael,54,0.6338028169014085,0.9,0.743801652892562,50
ibizan_hound,55,0.7752808988764045,0.7840909090909091,0.7796610169491526,88
irish_setter,56,0.9411764705882353,0.5818181818181818,0.7191011235955056,55
irish_terrier,57,0.6395348837209303,0.7971014492753623,0.7096774193548387,69
irish_water_spaniel,58,0.6612903225806451,0.82,0.7321428571428571,50
irish_wolfhound,59,0.5637583892617449,0.711864406779661,0.6292134831460674,118
italian_greyhound,60,0.5698924731182796,0.6463414634146342,0.6057142857142858,82
japanese_spaniel,61,0.7634408602150538,0.8352941176470589,0.797752808988764,85
keeshond,62,0.9807692307692307,0.8793103448275862,0.9272727272727272,58
kelpie,63,0.5098039215686274,0.49056603773584906,0.5,53
kerry_blue_terrier,64,0.6470588235294118,0.8354430379746836,0.7292817679558011,79
komondor,65,0.9565217391304348,0.8148148148148148,0.88,54
kuvasz,66,0.425,0.68,0.5230769230769231,50
labrador_retriever,67,0.82,0.5774647887323944,0.6776859504132231,71
lakeland_terrier,68,0.7285714285714285,0.5257731958762887,0.6107784431137725,97
leonberg,69,0.8348623853211009,0.8272727272727273,0.8310502283105022,110
lhasa,70,0.5054945054945055,0.5348837209302325,0.519774011299435,86
malamute,71,0.6,0.46153846153846156,0.5217391304347826,78
malinois,72,0.5068493150684932,0.74,0.6016260162601627,50
maltese_dog,73,0.9368421052631579,0.5855263157894737,0.7206477732793523,152
mexican_hairless,74,0.8888888888888888,0.7272727272727273,0.8,55
miniature_pinscher,75,0.6470588235294118,0.6547619047619048,0.650887573964497,84
miniature_poodle,76,0.4166666666666667,0.36363636363636365,0.3883495145631068,55
miniature_schnauzer,77,0.7368421052631579,0.5185185185185185,0.6086956521739131,54
newfoundland,78,0.6951219512195121,0.6,0.6440677966101694,95
norfolk_terrier,79,0.6779661016949152,0.5555555555555556,0.6106870229007634,72
norwegian_elkhound,80,0.7956989247311828,0.7708333333333334,0.783068783068783,96
norwich_terrier,81,0.6263736263736264,0.6705882352941176,0.6477272727272727,85
old_english_sheepdog,82,0.6210526315789474,0.855072463768116,0.7195121951219512,69
otterhound,83,0.7941176470588235,0.5294117647058824,0.6352941176470588,51
papillon,84,0.8791208791208791,0.8333333333333334,0.8556149732620321,96
pekinese,85,0.48863636363636365,0.8775510204081632,0.6277372262773723,49
pembroke,86,0.6571428571428571,0.8518518518518519,0.7419354838709677,81
pomeranian,87,0.9195402298850575,0.6722689075630253,0.7766990291262136,119
pug,88,0.7706422018348624,0.84,0.8038277511961722,100
redbone,89,0.4909090909090909,0.5625,0.5242718446601942,48
rhodesian_ridgeback,90,0.6388888888888888,0.6388888888888888,0.6388888888888888,72
rottweiler,91,0.75,0.75,0.75,52
saint_bernard,92,0.8918918918918919,0.9428571428571428,0.9166666666666666,70
saluki,93,0.8421052631578947,0.64,0.7272727272727273,100
samoyed,94,0.8272727272727273,0.7711864406779662,0.7982456140350878,118
schipperke,95,0.6833333333333333,0.7592592592592593,0.7192982456140351,54
scotch_terrier,96,0.76,0.6551724137931034,0.7037037037037037,58
scottish_deerhound,97,0.7954545454545454,0.7954545454545454,0.7954545454545454,132
sealyham_terrier,98,0.9473684210526315,0.7058823529411765,0.8089887640449438,102
shetland_sheepdog,99,0.7,0.49122807017543857,0.5773195876288659,57
shih_tzu,100,0.6538461538461539,0.4473684210526316,0.53125,114
siberian_husky,101,0.43870967741935485,0.7391304347826086,0.5506072874493927,92
silky_terrier,102,0.5434782608695652,0.6024096385542169,0.5714285714285714,83
soft_coated_wheaten_terrier,103,0.5,0.7857142857142857,0.6111111111111112,56
staffordshire_bullterrier,104,0.53125,0.6181818181818182,0.5714285714285714,55
standard_poodle,105,0.4782608695652174,0.3728813559322034,0.41904761904761906,59
standard_schnauzer,106,0.6739130434782609,0.5636363636363636,0.6138613861386139,55
sussex_spaniel,107,0.9302325581395349,0.7843137254901961,0.851063829787234,51
tibetan_mastiff,108,0.7358490566037735,0.75,0.7428571428571429,52
tibetan_terrier,109,0.75,0.4528301886792453,0.5647058823529412,106
toy_poodle,110,0.45454545454545453,0.39215686274509803,0.42105263157894735,51
toy_terrier,111,0.6285714285714286,0.6111111111111112,0.6197183098591549,72
vizsla,112,0.581081081081081,0.7962962962962963,0.671875,54
walker_hound,113,0.4305555555555556,0.5849056603773585,0.496,53
weimaraner,114,0.8253968253968254,0.8666666666666667,0.8455284552845529,60
welsh_springer_spaniel,115,0.6071428571428571,0.68,0.6415094339622641,50
west_highland_white_terrier,116,0.6288659793814433,0.8840579710144928,0.7349397590361446,69
whippet,117,0.6212121212121212,0.47126436781609193,0.5359477124183006,87
wire_haired_fox_terrier,118,0.6590909090909091,0.5087719298245614,0.5742574257425742,57
yorkshire_terrier,119,0.45714285714285713,0.5,0.47761194029850745,64
